connectivity,content,distance,filler,interface,K
0.00 ,0.04,0.035,200,20,1.59705
0.00 ,0.04,0.035,200,30,1.601
0.00 ,0.04,0.035,200,40,1.60515
0.00 ,0.04,0.035,200,50,1.6088
0.00 ,0.04,0.035,300,10,1.7097
0.00 ,0.04,0.035,300,20,1.71205
0.00 ,0.04,0.035,300,30,1.71435
0.00 ,0.04,0.035,300,40,1.7167
0.00 ,0.04,0.035,300,50,1.71855
0.00 ,0.04,0.035,400,10,1.77595
0.00 ,0.04,0.035,400,20,1.7775
0.00 ,0.04,0.035,400,30,1.779
0.00 ,0.04,0.035,400,40,1.7806
0.00 ,0.04,0.035,400,50,1.78215
0.00 ,0.04,0.04,100,10,1.27275
0.00 ,0.04,0.04,100,20,1.28235
0.00 ,0.04,0.04,100,30,1.2916
0.00 ,0.04,0.04,100,40,1.3005
0.00 ,0.04,0.04,100,50,1.30915
0.00 ,0.04,0.04,200,10,1.5073
0.00 ,0.04,0.04,200,20,1.5111
0.00 ,0.04,0.04,200,30,1.5147
0.00 ,0.04,0.04,200,40,1.51815
0.00 ,0.04,0.04,200,50,1.52155
0.00 ,0.04,0.04,300,10,1.61055
0.00 ,0.04,0.04,300,20,1.6127
0.00 ,0.04,0.04,300,30,1.61465
0.00 ,0.04,0.04,300,40,1.6165
0.00 ,0.04,0.04,300,50,1.6183
0.00 ,0.04,0.04,400,10,1.66865
0.00 ,0.04,0.04,400,20,1.6701
0.00 ,0.04,0.04,400,30,1.67135
0.00 ,0.04,0.04,400,40,1.6725
0.00 ,0.04,0.04,400,50,1.67365
0.00 ,0.04,0.045,100,10,1.2205
0.00 ,0.04,0.045,100,20,1.2293
0.00 ,0.04,0.045,100,30,1.23765
0.00 ,0.04,0.045,100,40,1.24575
0.00 ,0.04,0.045,100,50,1.2536
0.00 ,0.04,0.045,200,10,1.4319
0.00 ,0.04,0.045,200,20,1.4353
0.00 ,0.04,0.045,200,30,1.4385
0.00 ,0.04,0.045,200,40,1.44155
0.00 ,0.04,0.045,200,50,1.4446
0.00 ,0.04,0.045,300,10,1.5237
0.00 ,0.04,0.045,300,20,1.5256
0.00 ,0.04,0.045,300,30,1.5273
0.00 ,0.04,0.045,300,40,1.52895
0.00 ,0.04,0.045,300,50,1.53055
0.00 ,0.04,0.045,400,10,1.575
0.00 ,0.04,0.045,400,20,1.5763
0.00 ,0.04,0.045,400,30,1.5774
0.00 ,0.04,0.045,400,40,1.5784
0.00 ,0.04,0.045,400,50,1.5794
0.00 ,0.04,0.05,100,10,1.17305
0.00 ,0.04,0.05,100,20,1.18105
0.00 ,0.04,0.05,100,30,1.1887
0.00 ,0.04,0.05,100,40,1.1961
0.00 ,0.04,0.05,100,50,1.20325
0.00 ,0.04,0.05,200,10,1.36455
0.00 ,0.04,0.05,200,20,1.36765
0.00 ,0.04,0.05,200,30,1.3705
0.00 ,0.04,0.05,200,40,1.3733
0.00 ,0.04,0.05,200,50,1.376
0.00 ,0.04,0.05,300,10,1.44675
0.00 ,0.04,0.05,300,20,1.44845
0.00 ,0.04,0.05,300,30,1.45
0.00 ,0.04,0.05,300,40,1.45145
0.00 ,0.04,0.05,300,50,1.45285
0.00 ,0.04,0.05,400,10,1.49245
0.00 ,0.04,0.05,400,20,1.4936
0.00 ,0.04,0.05,400,30,1.49455
0.00 ,0.04,0.05,400,40,1.4955
0.00 ,0.04,0.05,400,50,1.49635
0.00 ,0.06,0.005,100,10,2.6707
0.00 ,0.06,0.005,100,20,2.70455
0.00 ,0.06,0.005,100,30,2.7362
0.00 ,0.06,0.005,100,40,2.76675
0.00 ,0.06,0.005,100,50,2.79645
0.00 ,0.06,0.005,200,10,3.5359
0.00 ,0.06,0.005,200,20,3.5546
0.00 ,0.06,0.005,200,30,3.57035
0.00 ,0.06,0.005,200,40,3.58525
0.00 ,0.06,0.005,200,50,3.59965
0.00 ,0.06,0.005,300,10,3.9807
0.00 ,0.06,0.005,300,20,3.9943
0.00 ,0.06,0.005,300,30,4.00435
0.00 ,0.06,0.005,300,40,4.01345
0.00 ,0.06,0.005,300,50,4.0221
0.00 ,0.06,0.005,400,10,4.25165
0.00 ,0.06,0.005,400,20,4.26305
0.00 ,0.06,0.005,400,30,4.27045
0.00 ,0.06,0.005,400,40,4.27675
0.00 ,0.06,0.005,400,50,4.28265
0.00 ,0.06,0.01,100,10,2.25465
0.00 ,0.06,0.01,100,20,2.2779
0.00 ,0.06,0.01,100,30,2.2997
0.00 ,0.06,0.01,100,40,2.3208
0.00 ,0.06,0.01,100,50,2.34125
0.00 ,0.06,0.01,200,10,2.8278
0.00 ,0.06,0.01,200,20,2.8389
0.00 ,0.06,0.01,200,30,2.84855
0.00 ,0.06,0.01,200,40,2.8577
0.00 ,0.06,0.01,200,50,2.8666
0.00 ,0.06,0.01,300,10,3.09955
0.00 ,0.06,0.01,300,20,3.1069
0.00 ,0.06,0.01,300,30,3.1126
0.00 ,0.06,0.01,300,40,3.11785
0.00 ,0.06,0.01,300,50,3.1229
0.00 ,0.06,0.01,400,10,3.25795
0.00 ,0.06,0.01,400,20,3.2637
0.00 ,0.06,0.01,400,30,3.26765
0.00 ,0.06,0.01,400,40,3.2712
0.00 ,0.06,0.01,400,50,3.2747
0.00 ,0.06,0.015,100,10,2.02135
0.00 ,0.06,0.015,100,20,2.03965
0.00 ,0.06,0.015,100,30,2.05685
0.00 ,0.06,0.015,100,40,2.0734
0.00 ,0.06,0.015,100,50,2.08945
0.00 ,0.06,0.015,200,10,2.4623
0.00 ,0.06,0.015,200,20,2.47045
0.00 ,0.06,0.015,200,30,2.4776
0.00 ,0.06,0.015,200,40,2.4844
0.00 ,0.06,0.015,200,50,2.491
0.00 ,0.06,0.015,300,10,2.6626
0.00 ,0.06,0.015,300,20,2.66775
0.00 ,0.06,0.015,300,30,2.67185
0.00 ,0.06,0.015,300,40,2.67565
0.00 ,0.06,0.015,300,50,2.6793
0.00 ,0.06,0.015,400,10,2.77705
0.00 ,0.06,0.015,400,20,2.78095
0.00 ,0.06,0.015,400,30,2.78375
0.00 ,0.06,0.015,400,40,2.78625
0.00 ,0.06,0.015,400,50,2.7886
0.00 ,0.06,0.02,100,10,1.8569
0.00 ,0.06,0.02,100,20,1.87205
0.00 ,0.06,0.02,100,30,1.8863
0.00 ,0.06,0.02,100,40,1.90005
0.00 ,0.06,0.02,100,50,1.9133
0.00 ,0.06,0.02,200,10,2.2167
0.00 ,0.06,0.02,200,20,2.22315
0.00 ,0.06,0.02,200,30,2.22885
0.00 ,0.06,0.02,200,40,2.2343
0.00 ,0.06,0.02,200,50,2.23955
